,Born,Raised,Residence,Transportation,Commute,Family,Area,Batch
92,Kathmandu,Kathmandu,Siphal,Foot,5,5,North East,26C
93,Kathmandu,Kathmandu,Maitidevi,Scooter,6,6,West,26C
94,Jhapa,Jhapa,Baneshwor,Scooter,15,5,East,26C
95,Bhaktapur,Bhaktapur,Gathaghar,Public,50,4,East,26C
96,Kathmandu,Kathmandu,Budhanilkhantha,Public,45,4,North,26C
97,Chitwan,Chitwan,Chabahil,Foot,10,3,North East,26C
98,Sunsari,Jhapa,Kapan,Public,25,3,North,26C
99,Chitwan,Chitwan,Kalanki,Public,60,3,West,26C
100,Lalitpur,Lalitpur,Imadol,Public,45,3,South,26C
101,Rupandehi,Rupandehi,Kausaltar,Public,60,5,East,26C
102,Kathmandu,Kathmandu,Anamnagar,Scooter,15,3,East,26C
103,Lalitpur,Lalitpur,Bhaisepati,Public,60,3,South,26C
104,Jhapa,Jhapa,Siphal,Foot,10,1,North East,26C
105,Kathmandu,Kathmandu,Dhumbarahi,Motorbike,15,3,North West,26C
106,Sindhuli,Kathmandu,Kapan,Public,45,8,North,26C
107,Kavre,Kathmandu,Baneshwor,Motorbike,3,4,East,26C
108,Sindhuli,Kathmandu,Mulpani,Motorbike,20,7,North,26C
109,Kaski,Kaski,Baneshwor,Public,35,5,East,26C
110,Kathmandu,Kathmandu,jadibuti,Public,45,5,East,26C
111,Jhapa,Bhojpur,Kalopul,Foot,5,4,West,26C
112,Kathmandu,Kathmandu,Jorpati,Motorbike,15,4,North East,26C
113,Kathmandu,Kathmandu,Kapan,Public,30,4,North East,26C
114,Sunsari,Bhaktapur,Lokanthali,Car,35,4,North East,26C
115,Kathmandu,Kathmandu,Lokanthali,Public,45,5,North East,26C
116,Kathmandu,Kathmandu,Jorpati,Public,30,5,North East,26C
117,Sindhupalchowk,Kathmandu,Pepsicola,Scooter,15,4,East,26C
118,Kathmandu,Kathmandu,Maitidevi,Public,20,4,West,26C
119,Sunsari,Dharan,Gwarko,Public,30,3,South,26C
120,Morang,Morang,Chabel,Foot,12,3,North East,26C
121,Kathmandu,Kathmandu,Gothatar,Motorbike,30,4,East,26C
122,Rupandehi,Rupandehi,Samakhushi,Public,30,4,North East,26C
123,Lalitpur,Lalitpur,Satobato,Public,60,5,South,26C
124,Kathmandu,Kathmandu,Boudha,Scooter,15,3,East,26C
125,Kathmandu,Kathmandu,Budhanilkhantha,Car,30,6,North,26C
126,Mahottari,Kathmandu,Gaurighat,Foot,20,4,North East,26C
127,Kathmandu,Kathmandu,Kalopul,Scooter,5,3,West,26C
128,Kaski,baden wuertemberg,kapan,Public,35,5,North East,26C
129,Lalitpur,Lalitpur,Jawlakhel,Scooter,40,5,South,26C
130,Illam,Illam,Thimi,Public,60,4,East,26C
131,Lalitpur,Lalitpur,Nakhipot,Public,35,6,South,26C
132,Lalitpur,Kathmandu,Kalanki,Public,60,3,West,26C
